,veh_id,O,D,start_time,travel_time,route
0,0.0,-gneE12,gneE6,0.0,30.0,"['-gneE12', 'gneE6']"
1,1.0,-gneE3,-gneE10,0.0,45.0,"['-gneE3', '-gneE10']"
2,2.0,-gneE6,gneE3,0.0,97.0,"['-gneE6', '-gneE11', 'gneE3']"
3,3.0,-gneE9,gneE12,0.0,67.0,"['-gneE9', 'gneE5', 'gneE12']"
4,4.0,gneE10,-gneE7,0.0,14.0,"['gneE10', '-gneE2', '-gneE7']"
5,5.0,gneE1,-gneE4,0.0,55.0,"['gneE1', 'gneE8', '-gneE4']"
6,6.0,gneE4,gneE9,0.0,19.0,"['gneE4', 'gneE9']"
7,7.0,gneE7,-gneE1,0.0,53.0,"['gneE7', '-gneE1']"
8,8.0,gneE4,gneE9,10.0,21.0,"['gneE4', 'gneE9']"
9,9.0,gneE4,gneE9,13.0,23.0,"['gneE4', 'gneE9']"
10,10.0,-gneE12,gneE6,20.0,30.0,"['-gneE12', 'gneE6']"
11,11.0,-gneE3,-gneE10,20.0,27.0,"['-gneE3', '-gneE10']"
12,12.0,-gneE6,gneE3,20.0,80.0,"['-gneE6', '-gneE11', 'gneE3']"
13,13.0,gneE10,-gneE7,20.0,13.0,"['gneE10', '-gneE2', '-gneE7']"
14,14.0,gneE1,-gneE4,20.0,37.0,"['gneE1', 'gneE8', '-gneE4']"
15,15.0,gneE4,gneE9,20.0,21.0,"['gneE4', 'gneE9']"
16,16.0,gneE7,-gneE1,20.0,36.0,"['gneE7', '-gneE1']"
17,17.0,gneE4,gneE9,30.0,21.0,"['gneE4', 'gneE9']"
18,18.0,-gneE12,gneE3,40.0,68.0,"['-gneE12', '-gneE11', 'gneE3']"
19,19.0,-gneE3,-gneE7,40.0,54.0,"['-gneE3', '-gneE2', '-gneE7']"
20,20.0,-gneE6,-gneE10,40.0,58.0,"['-gneE6', '-gneE11', '-gneE10']"
21,21.0,-gneE9,gneE6,40.0,27.0,"['-gneE9', 'gneE5', 'gneE6']"
22,22.0,gneE10,-gneE1,40.0,61.0,"['gneE10', '-gneE2', '-gneE1']"
23,23.0,gneE1,gneE9,40.0,108.0,"['gneE1', 'gneE8', 'gneE9']"
24,24.0,gneE4,gneE12,40.0,116.0,"['gneE4', 'gneE5', 'gneE12']"
25,25.0,-gneE12,gneE3,60.0,51.0,"['-gneE12', '-gneE11', 'gneE3']"
26,26.0,-gneE3,-gneE7,60.0,38.0,"['-gneE3', '-gneE2', '-gneE7']"
27,27.0,-gneE6,-gneE10,60.0,40.0,"['-gneE6', '-gneE11', '-gneE10']"
28,28.0,-gneE9,gneE6,60.0,25.0,"['-gneE9', 'gneE5', 'gneE6']"
29,29.0,gneE10,-gneE1,60.0,44.0,"['gneE10', '-gneE2', '-gneE1']"
30,30.0,gneE1,gneE9,60.0,174.0,"['gneE1', 'gneE8', 'gneE9']"
31,31.0,gneE4,gneE12,60.0,98.0,"['gneE4', 'gneE5', 'gneE12']"
32,32.0,gneE4,gneE12,70.0,90.0,"['gneE4', 'gneE5', 'gneE12']"
33,33.0,-gneE12,-gneE10,80.0,29.0,"['-gneE12', '-gneE11', '-gneE10']"
34,34.0,-gneE6,-gneE7,80.0,151.0,"['-gneE6', '-gneE5', '-gneE8', '-gneE7']"
35,35.0,-gneE9,gneE3,80.0,70.0,"['-gneE9', '-gneE8', 'gneE2', 'gneE3']"
36,36.0,gneE10,-gneE4,80.0,165.0,"['gneE10', '-gneE2', 'gneE8', '-gneE4']"
37,37.0,gneE1,gneE12,80.0,173.0,"['gneE1', 'gneE8', 'gneE5', 'gneE12']"
38,38.0,gneE7,gneE9,80.0,65.0,"['gneE7', 'gneE8', 'gneE9']"
39,39.0,gneE4,gneE6,90.0,68.0,"['gneE4', 'gneE5', 'gneE6']"
40,40.0,-gneE12,-gneE10,100.0,24.0,"['-gneE12', '-gneE11', '-gneE10']"
41,41.0,-gneE3,-gneE1,100.0,269.0,"['-gneE3', '-gneE2', '-gneE1']"
42,42.0,-gneE6,-gneE7,100.0,133.0,"['-gneE6', '-gneE5', '-gneE8', '-gneE7']"
43,43.0,-gneE9,gneE3,100.0,52.0,"['-gneE9', '-gneE8', 'gneE2', 'gneE3']"
44,44.0,gneE10,-gneE4,100.0,229.0,"['gneE10', '-gneE2', 'gneE8', '-gneE4']"
45,45.0,gneE1,gneE12,100.0,237.0,"['gneE1', 'gneE8', 'gneE5', 'gneE12']"
46,46.0,gneE4,gneE6,100.0,139.0,"['gneE4', 'gneE5', 'gneE6']"
47,47.0,gneE7,gneE9,100.0,52.0,"['gneE7', 'gneE8', 'gneE9']"
48,48.0,-gneE12,-gneE7,120.0,291.0,"['-gneE12', '-gneE5', '-gneE8', '-gneE7']"
49,49.0,-gneE6,-gneE1,120.0,203.0,"['-gneE6', '-gneE5', '-gneE8', '-gneE1']"
50,50.0,gneE10,gneE9,120.0,297.0,"['gneE10', '-gneE2', 'gneE8', 'gneE9']"
51,51.0,-gneE12,-gneE7,140.0,272.0,"['-gneE12', '-gneE5', '-gneE8', '-gneE7']"
52,52.0,-gneE3,-gneE4,140.0,275.0,"['-gneE3', '-gneE2', 'gneE8', '-gneE4']"
53,53.0,-gneE6,-gneE1,140.0,185.0,"['-gneE6', '-gneE5', '-gneE8', '-gneE1']"
54,54.0,-gneE9,-gneE10,140.0,22.0,"['-gneE9', '-gneE8', 'gneE2', '-gneE10']"
55,55.0,gneE10,gneE9,140.0,366.0,"['gneE10', '-gneE2', 'gneE8', 'gneE9']"
56,56.0,gneE1,gneE6,140.0,198.0,"['gneE1', 'gneE8', 'gneE5', 'gneE6']"
57,57.0,gneE4,gneE3,140.0,101.0,"['gneE4', '-gneE8', 'gneE2', 'gneE3']"
58,58.0,-gneE12,-gneE1,160.0,342.0,"['-gneE12', '-gneE5', '-gneE8', '-gneE1']"
59,59.0,gneE10,gneE12,160.0,56.0,"['gneE10', 'gneE11', 'gneE12']"
60,60.0,gneE4,-gneE10,170.0,159.0,"['gneE4', '-gneE8', 'gneE2', '-gneE10']"
61,61.0,-gneE12,-gneE1,180.0,324.0,"['-gneE12', '-gneE5', '-gneE8', '-gneE1']"
62,62.0,-gneE3,gneE9,180.0,327.0,"['-gneE3', '-gneE2', 'gneE8', 'gneE9']"
63,63.0,-gneE6,-gneE4,180.0,369.0,"['-gneE6', '-gneE5', '-gneE4']"
64,64.0,-gneE9,-gneE7,180.0,57.0,"['-gneE9', '-gneE8', '-gneE7']"
65,65.0,gneE10,gneE12,180.0,40.0,"['gneE10', 'gneE11', 'gneE12']"
66,66.0,gneE1,gneE3,180.0,140.0,"['gneE1', 'gneE2', 'gneE3']"
67,67.0,-gneE12,-gneE4,240.0,224.0,"['-gneE12', '-gneE5', '-gneE4']"
68,68.0,-gneE3,gneE12,240.0,137.0,"['-gneE3', 'gneE11', 'gneE12']"
69,69.0,-gneE6,gneE9,240.0,313.0,"['-gneE6', '-gneE5', 'gneE9']"
70,70.0,-gneE9,-gneE1,240.0,21.0,"['-gneE9', '-gneE8', '-gneE1']"
71,71.0,gneE10,gneE6,240.0,51.0,"['gneE10', 'gneE11', 'gneE6']"
72,72.0,gneE4,-gneE7,240.0,175.0,"['gneE4', '-gneE8', '-gneE7']"
73,73.0,-gneE12,-gneE4,260.0,205.0,"['-gneE12', '-gneE5', '-gneE4']"
74,74.0,gneE10,gneE6,260.0,34.0,"['gneE10', 'gneE11', 'gneE6']"
75,75.0,-gneE12,gneE9,280.0,191.0,"['-gneE12', '-gneE5', 'gneE9']"
76,76.0,-gneE6,gneE12,280.0,238.0,"['-gneE6', 'gneE12']"
77,77.0,-gneE9,-gneE4,280.0,45.0,"['-gneE9', '-gneE4']"
78,78.0,gneE10,gneE3,280.0,12.0,"['gneE10', 'gneE3']"
79,79.0,gneE4,-gneE1,290.0,130.0,"['gneE4', '-gneE8', '-gneE1']"
80,80.0,-gneE12,gneE9,300.0,172.0,"['-gneE12', '-gneE5', 'gneE9']"
81,81.0,gneE10,gneE3,300.0,11.0,"['gneE10', 'gneE3']"
